Population,AverageHealth
250,91.964
250,83.9
250,75.904
250,67.952
249,60.2771
246,53.1545
245,45.5143
245,37.7265
220,34.2591
174,35.3448
173,29.0405
145,28.3655
116,28.9224
110,24.5909
79,28.2911
77,23.974
53,28.8302
52,25.0961
46,22.9348
17,50.2941
17,46.1765
16,44.875
16,41.0625
14,42
12,45.4167
11,46.1818
9,53.5556
9,51.4444
9,49.3333
9,47.2222
9,45.1111
6,62.5
6,60.8333
6,59.1667
6,57.5
6,55.8333
6,54.1667
6,52.5
6,50.8333
5,59
5,58
5,57
5,56
5,55
5,54
5,53
5,52
3,82.3333
3,82
3,80
3,78
3,76
3,74
3,72
3,70
3,68
3,66
3,64
3,62
3,60
3,58
3,56
3,54
3,52
3,50
3,48
3,46
2,66
2,65.5
2,65
2,64.5
2,64
2,63.5
2,63
2,62.5
2,62
2,61.5
2,61
2,60.5
2,60
2,59.5
2,59
2,58.5
2,58
2,57.5
2,57
2,56.5
2,56
2,55.5
2,55
2,54.5
2,54
2,53.5
2,53
1,100
1,100
1,100
1,100
1,100
1,100
